problem,algorithm,B,Nlike_used,W1_marginal_avg,SWD,dlogZ,Neff,eta_Nlike,Rhat_max
banana,is,5000.0,5000.0,0.9640549574091027,0.9327873689638966,0.9139737728333568,2.2712105753102376,0.00045424211506204756,NaN
banana,is,50000.0,50000.0,0.35961125826320195,0.352883510022865,0.2824904862073536,9.643621079502585,0.0001928724215900517,NaN
banana,is,500000.0,500000.0,0.11273083180136906,0.1118974793748429,0.060932845791349166,88.61086242871485,0.0001772217248574297,NaN
banana,mh,5000.0,5000.0,0.15197882696690743,0.14838227574492582,NaN,95.80810906908212,0.019161621813816424,1.0410859104543406
banana,mh,50000.0,50000.0,0.042398444724018075,0.0455836292863189,NaN,549.2613154551018,0.010985226309102036,1.006868002120016
banana,mh,500000.0,500000.0,0.02334407483871833,0.022731891312603426,NaN,5524.062080225721,0.011048124160451442,1.0005643507253819
banana,mw,5000.0,5726.0,0.09905492880623923,0.11252054579765605,0.10553439309131463,2435.7446729372336,0.42814863793463936,NaN
banana,mw,50000.0,39001.5,0.04593364862603925,0.052890278460683435,0.02285048028845349,18504.192683902314,0.47201264585666214,NaN
banana,mw,500000.0,56339.5,0.04541117762085764,0.051750754896582915,0.024391124770144046,18060.72303129309,0.3176673506927535,NaN
banana,ns,5000.0,5186.0,0.9441104282638966,0.945417877478615,0.8628729734218075,1.9569086174689787,0.0003737922966253472,NaN
banana,ns,50000.0,46261.0,0.1665869593007176,0.16274782412588876,0.07855412710097642,42.12276739825947,0.0009055741560013124,NaN
banana,ns,500000.0,471716.5,0.030758278822797032,0.031794038125591395,0.0855966128207406,3634.2807121763603,0.00769764064288511,NaN
banana,nuts,50000.0,45020.0,0.10732688076990364,0.11449275990093613,NaN,101.68322873091319,0.002257219604220236,1.0086358499408505
banana,nuts,500000.0,450067.5,0.06255259764522222,0.06678976780761893,NaN,1855.8615196667397,0.004123670647876786,1.0023286943510348
funnel,is,5000.0,5000.0,1.256928657913344,1.1337790515085202,0.7979651306681772,13.146604617837188,0.002629320923567438,NaN
funnel,is,50000.0,50000.0,0.7339629125608758,0.7017532194669857,0.39781556481462577,10.543861322006927,0.00021087722644013855,NaN
funnel,is,500000.0,500000.0,0.463930065344033,0.4795465180057066,0.25741717044830814,31.571825176094066,6.314365035218813e-5,NaN
funnel,mh,50000.0,50000.0,0.2665516099840167,0.3210745842030734,NaN,99.2751460029623,0.001985502920059246,1.034992457868714
funnel,mh,500000.0,500000.0,0.10735436980288375,0.1197260208504553,NaN,278.04536409940073,0.0005560907281988015,1.0155498494209294
funnel,mw,5000.0,5926.0,1.963287491430704,2.3385367513117585,1.7635565631355385,233.95252787126356,0.040034123070573996,NaN
funnel,mw,50000.0,51500.5,0.2234606582901631,0.3140709700120053,0.045707679533500745,21904.87277728045,0.42425678845387965,NaN
funnel,mw,500000.0,98393.0,0.23090965064396923,0.29552960359845976,0.04464587612443616,26076.14655152853,0.26309177956177493,NaN
funnel,ns,5000.0,5372.0,1.1152380791309306,1.0835615179876963,0.7097821685926009,8.462132275094655,0.0015447365983323625,NaN
funnel,ns,50000.0,46294.5,0.7510463725591122,0.7240783836230424,0.43286200655895346,64.0863314611224,0.0013943868019895603,NaN
funnel,ns,500000.0,229894.0,0.6005727140086461,0.6300451978998678,0.3862889049025231,8536.393379308034,0.0366484887040454,NaN
funnel,nuts,50000.0,45095.5,0.6638469840738868,0.6624951905138008,NaN,8.27582407617155,0.0001828736284311933,1.0316449461767494
funnel,nuts,500000.0,450090.0,0.3137157355937713,0.3266332631038714,NaN,144.5792651944167,0.0003212485993621659,1.0269028078887363
mridges,is,5000.0,5000.0,1.433974171363046,1.4351134798228369,0.5857097170930219,4.2773492024036575,0.0008554698404807314,NaN
mridges,is,50000.0,50000.0,0.8253015468753967,0.8872933657340067,0.4092133796382358,10.198713065334807,0.00020397426130669617,NaN
mridges,is,500000.0,500000.0,0.3231795093891507,0.41327003775664123,0.11977697055198444,43.40918118935664,8.681836237871328e-5,NaN
mridges,mh,500000.0,500000.0,0.11591355291565576,0.1722391868493281,NaN,115.25959303406952,0.00023051918606813903,1.0438728886426747
mridges,mw,5000.0,5402.0,0.5255240258631219,0.6832381948768981,1.3563158438950271,323.8897326933801,0.058474405613536756,NaN
mridges,mw,50000.0,13203.5,0.47989941589430357,0.5997720440508368,0.5960742690029486,3972.504883714615,0.3012227066420702,NaN
mridges,mw,500000.0,29185.0,0.19989942622832324,0.1963044025198468,0.17888017329853412,2564.089996583461,0.08766438117490796,NaN
mridges,ns,5000.0,5164.0,1.4931888205562442,1.5629851051615509,0.7650537546957681,3.147397345723075,0.0006105899253794947,NaN
mridges,ns,50000.0,46421.5,0.6543341381130319,0.6941747478719615,0.25269039552861106,20.306896929654382,0.0004372157524658442,NaN
