problem,algorithm,d,B,seed,Nlike_used,wall_time_s,n_primal,n_grad_partials,n_dual_calls,Neff,eta_Nlike,W1_marginal_avg,SWD,dlogZ,QE_p025,QE_p160,QE_p500,QE_p840,QE_p975,KL_cube,mode_recovery,mmd_rbf,Rhat_max,terminated_by,notes
banana,is,2,5000.0,11,5000.0,0.0005789,5000,0,-1,156.30198156778178,0.03126039631355636,0.11077343039240165,0.11364817979580553,0.04670990658001717,0.1189322089802155,0.17590464609713438,0.059168690579783995,0.14865180080567286,0.0404916930470588,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,23,5000.0,0.0031362,5000,0,-1,163.4132631554221,0.03268265263108442,0.0989396695069027,0.09807270068242673,0.022931870524472764,0.08544938807497549,0.11667850862294973,0.06168124352371515,0.12053257304073994,0.0779831495227411,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,41,5000.0,0.000969,5000,0,-1,158.91060321384808,0.03178212064276961,0.057543220146587304,0.07512526810731406,0.009377156094773298,0.07412446290290842,0.05663833839038754,0.0341896260509261,0.08958245358945993,0.1054848722267,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,67,5000.0,0.0005998,5000,0,-1,170.2747070171263,0.034054941403425264,0.05314390800431802,0.06811380229445958,0.09676751604157552,0.07201834839485255,0.05208003435162775,0.022332665070150443,0.06138757980755616,0.01838405932367293,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,97,5000.0,0.000375,5000,0,-1,149.3060566196625,0.0298612113239325,0.07891111168782064,0.09807733366506309,0.014426626613785132,0.11945923017383031,0.10020216616385583,0.07366188350993683,0.10599784993832884,0.09189917458957908,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,113,5000.0,0.0004685,5000,0,-1,150.16931248997815,0.030033862497995632,0.10694114732651464,0.09371879485748431,0.024012791377317377,0.05317924512304317,0.12073147536997011,0.13480016663821046,0.07026182813329707,0.23346433643587694,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,137,5000.0,0.0021627,5000,0,-1,166.46071560725474,0.03329214312145095,0.10878103916224777,0.11459330265049625,0.06031154719712184,0.1081264320766625,0.17851895477517163,0.09649041021989815,0.18497137619278659,0.12391275075474983,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,173,5000.0,0.0004828,5000,0,-1,178.76611451390983,0.03575322290278197,0.11817163597047371,0.11287049204299793,0.1269480983463147,0.036005142052458416,0.09026004882517111,0.13040823794844889,0.1460243294411715,0.30512149896665053,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,211,5000.0,0.0004406,5000,0,-1,163.03086696421644,0.03260617339284329,0.06882362086579492,0.07077842187900504,0.07240602613707026,0.06552006967563939,0.07001753229078087,0.023773496990614568,0.06254994017864146,0.15106734412948752,NaN,NaN,NaN,NaN,budget,
banana,is,2,5000.0,239,5000.0,0.0004686,5000,0,-1,178.50774196141202,0.03570154839228241,0.060656690614705876,0.058058642845166195,0.13993449343179876,0.04083294878340282,0.08123335131860623,0.046667805310488,0.07811738576304605,0.11343737245102925,NaN,NaN,NaN,NaN,budget,
